dateid,date,weekday_number,weekday_name
199,17/07/2024,3,Wednesday
200,18/07/2024,4,Thursday
201,19/07/2024,5,Friday
202,20/07/2024,6,Saturday
203,21/07/2024,7,Sunday
204,22/07/2024,1,Monday
205,23/07/2024,2,Tuesday
206,24/07/2024,3,Wednesday
207,25/07/2024,4,Thursday
208,26/07/2024,5,Friday
209,27/07/2024,6,Saturday
210,28/07/2024,7,Sunday
211,29/07/2024,1,Monday
212,30/07/2024,2,Tuesday
213,31/07/2024,3,Wednesday
214,1/08/2024,4,Thursday
215,2/08/2024,5,Friday
216,3/08/2024,6,Saturday
217,4/08/2024,7,Sunday
218,5/08/2024,1,Monday
219,6/08/2024,2,Tuesday
220,7/08/2024,3,Wednesday
221,8/08/2024,4,Thursday
222,9/08/2024,5,Friday
223,10/08/2024,6,Saturday
224,11/08/2024,7,Sunday
225,12/08/2024,1,Monday
226,13/08/2024,2,Tuesday
227,14/08/2024,3,Wednesday
228,15/08/2024,4,Thursday
229,16/08/2024,5,Friday
230,17/08/2024,6,Saturday
231,18/08/2024,7,Sunday
232,19/08/2024,1,Monday
233,20/08/2024,2,Tuesday
234,21/08/2024,3,Wednesday
235,22/08/2024,4,Thursday
236,23/08/2024,5,Friday
237,24/08/2024,6,Saturday
238,25/08/2024,7,Sunday
239,26/08/2024,1,Monday
240,27/08/2024,2,Tuesday
241,28/08/2024,3,Wednesday
242,29/08/2024,4,Thursday
243,30/08/2024,5,Friday
244,31/08/2024,6,Saturday
245,1/09/2024,7,Sunday
246,2/09/2024,1,Monday
247,3/09/2024,2,Tuesday
248,4/09/2024,3,Wednesday
249,5/09/2024,4,Thursday
250,6/09/2024,5,Friday
251,7/09/2024,6,Saturday
252,8/09/2024,7,Sunday
253,9/09/2024,1,Monday
254,10/09/2024,2,Tuesday
255,11/09/2024,3,Wednesday
256,12/09/2024,4,Thursday
257,13/09/2024,5,Friday
258,14/09/2024,6,Saturday
259,15/09/2024,7,Sunday
260,16/09/2024,1,Monday
261,17/09/2024,2,Tuesday
262,18/09/2024,3,Wednesday
263,19/09/2024,4,Thursday
264,20/09/2024,5,Friday
265,21/09/2024,6,Saturday
266,22/09/2024,7,Sunday
267,23/09/2024,1,Monday
268,24/09/2024,2,Tuesday
269,25/09/2024,3,Wednesday
270,26/09/2024,4,Thursday
271,27/09/2024,5,Friday
272,28/09/2024,6,Saturday
273,29/09/2024,7,Sunday
274,30/09/2024,1,Monday
275,1/10/2024,2,Tuesday
276,2/10/2024,3,Wednesday
277,3/10/2024,4,Thursday
278,4/10/2024,5,Friday
279,5/10/2024,6,Saturday
280,6/10/2024,7,Sunday
281,7/10/2024,1,Monday
282,8/10/2024,2,Tuesday
283,9/10/2024,3,Wednesday
284,10/10/2024,4,Thursday
285,11/10/2024,5,Friday
286,12/10/2024,6,Saturday
287,13/10/2024,7,Sunday
288,14/10/2024,1,Monday
289,15/10/2024,2,Tuesday
290,16/10/2024,3,Wednesday
291,17/10/2024,4,Thursday
292,18/10/2024,5,Friday
293,19/10/2024,6,Saturday
294,20/10/2024,7,Sunday
295,21/10/2024,1,Monday
296,22/10/2024,2,Tuesday
297,23/10/2024,3,Wednesday
298,24/10/2024,4,Thursday
299,25/10/2024,5,Friday
300,26/10/2024,6,Saturday
301,27/10/2024,7,Sunday
302,28/10/2024,1,Monday
303,29/10/2024,2,Tuesday
304,30/10/2024,3,Wednesday
305,31/10/2024,4,Thursday
306,1/11/2024,5,Friday
307,2/11/2024,6,Saturday
308,3/11/2024,7,Sunday
309,4/11/2024,1,Monday
310,5/11/2024,2,Tuesday
311,6/11/2024,3,Wednesday
312,7/11/2024,4,Thursday
313,8/11/2024,5,Friday
314,9/11/2024,6,Saturday
315,10/11/2024,7,Sunday
316,11/11/2024,1,Monday
317,12/11/2024,2,Tuesday
318,13/11/2024,3,Wednesday
319,14/11/2024,4,Thursday
320,15/11/2024,5,Friday
321,16/11/2024,6,Saturday
322,17/11/2024,7,Sunday
323,18/11/2024,1,Monday
324,19/11/2024,2,Tuesday
325,20/11/2024,3,Wednesday
326,21/11/2024,4,Thursday
327,22/11/2024,5,Friday
328,23/11/2024,6,Saturday
329,24/11/2024,7,Sunday
330,25/11/2024,1,Monday
331,26/11/2024,2,Tuesday
332,27/11/2024,3,Wednesday
333,28/11/2024,4,Thursday
334,29/11/2024,5,Friday
335,30/11/2024,6,Saturday
336,1/12/2024,7,Sunday
337,2/12/2024,1,Monday
338,3/12/2024,2,Tuesday
339,4/12/2024,3,Wednesday
340,5/12/2024,4,Thursday
341,6/12/2024,5,Friday
342,7/12/2024,6,Saturday
343,8/12/2024,7,Sunday
344,9/12/2024,1,Monday
345,10/12/2024,2,Tuesday
346,11/12/2024,3,Wednesday
347,12/12/2024,4,Thursday
348,13/12/2024,5,Friday
349,14/12/2024,6,Saturday
350,15/12/2024,7,Sunday
351,16/12/2024,1,Monday
352,17/12/2024,2,Tuesday
353,18/12/2024,3,Wednesday
354,19/12/2024,4,Thursday
355,20/12/2024,5,Friday
356,21/12/2024,6,Saturday
357,22/12/2024,7,Sunday
358,23/12/2024,1,Monday
359,24/12/2024,2,Tuesday
360,25/12/2024,3,Wednesday
361,26/12/2024,4,Thursday
362,27/12/2024,5,Friday
363,28/12/2024,6,Saturday
364,29/12/2024,7,Sunday
365,30/12/2024,1,Monday
366,31/12/2024,2,Tuesday
367,1/01/2025,3,Wednesday
368,2/01/2025,4,Thursday
369,3/01/2025,5,Friday
370,4/01/2025,6,Saturday
371,5/01/2025,7,Sunday
372,6/01/2025,1,Monday
373,7/01/2025,2,Tuesday
374,8/01/2025,3,Wednesday
375,9/01/2025,4,Thursday
376,10/01/2025,5,Friday
377,11/01/2025,6,Saturday
378,12/01/2025,7,Sunday
379,13/01/2025,1,Monday
380,14/01/2025,2,Tuesday
381,15/01/2025,3,Wednesday
382,16/01/2025,4,Thursday
383,17/01/2025,5,Friday
384,18/01/2025,6,Saturday
385,19/01/2025,7,Sunday
386,20/01/2025,1,Monday
387,21/01/2025,2,Tuesday
388,22/01/2025,3,Wednesday
389,23/01/2025,4,Thursday
390,24/01/2025,5,Friday
391,25/01/2025,6,Saturday
392,26/01/2025,7,Sunday
393,27/01/2025,1,Monday
394,28/01/2025,2,Tuesday
395,29/01/2025,3,Wednesday
396,30/01/2025,4,Thursday
397,31/01/2025,5,Friday
398,1/02/2025,6,Saturday
399,2/02/2025,7,Sunday
400,3/02/2025,1,Monday
401,4/02/2025,2,Tuesday
402,5/02/2025,3,Wednesday
403,6/02/2025,4,Thursday
404,7/02/2025,5,Friday
405,8/02/2025,6,Saturday
406,9/02/2025,7,Sunday
407,10/02/2025,1,Monday
408,11/02/2025,2,Tuesday
409,12/02/2025,3,Wednesday
410,13/02/2025,4,Thursday
411,14/02/2025,5,Friday
412,15/02/2025,6,Saturday
413,16/02/2025,7,Sunday
414,17/02/2025,1,Monday
415,18/02/2025,2,Tuesday
416,19/02/2025,3,Wednesday
417,20/02/2025,4,Thursday
418,21/02/2025,5,Friday
419,22/02/2025,6,Saturday
420,23/02/2025,7,Sunday
421,24/02/2025,1,Monday
422,25/02/2025,2,Tuesday
423,26/02/2025,3,Wednesday
424,27/02/2025,4,Thursday
425,28/02/2025,5,Friday
426,1/03/2025,6,Saturday
427,2/03/2025,7,Sunday
428,3/03/2025,1,Monday
429,4/03/2025,2,Tuesday
430,5/03/2025,3,Wednesday
431,6/03/2025,4,Thursday
432,7/03/2025,5,Friday
433,8/03/2025,6,Saturday
434,9/03/2025,7,Sunday
435,10/03/2025,1,Monday
436,11/03/2025,2,Tuesday
437,12/03/2025,3,Wednesday
438,13/03/2025,4,Thursday
439,14/03/2025,5,Friday
440,15/03/2025,6,Saturday
441,16/03/2025,7,Sunday
442,17/03/2025,1,Monday
443,18/03/2025,2,Tuesday
444,19/03/2025,3,Wednesday
445,20/03/2025,4,Thursday
